"nid","parent_nid","name","serial","type","latitude","longitude","status"
"27","0","Provinsi Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
"28","0","Provinsi Gorontalo","75","1","0.6999372","122.4467238","1"
"29","0","Provinsi Sulawesi Barat","76","1","-2.8441371","119.2320784","1"
"30","0","Provinsi Maluku","81","1","-3.2384616","130.1452734","1"
"31","0","Provinsi Maluku Utara","82","1","1.5709993","127.8087693","1"
"32","0","Provinsi Papua Barat","91","1","-1.3361154","133.1747162","1"
"33","0","Provinsi Papua","94","1","-4.269928","138.0803529","1"
"562","74","Kota Tangerang Selatan","0","2","-6.2888889","106.7180556","1"
"821","15","Kabupaten Banyuwangi","1501","2","-8.2186111","114.3669444","1"
"823","15","Kabupaten Madiun","1502","2","-7.627753","111.505483","1"
"824","15","Kabupaten Ponorogo","1503","2","-7.867827","111.466003","1"
"825","15","Kabupaten Magetan","1504","2","-7.6493413","111.3381593","1"
"826","15","Kabupaten Pacitan","1505","2","-8.204614","111.08769","1"
"827","15","Kabupaten Ngawi","1506","2","-7.38993","111.46193","1"
"828","15","Kabupaten Bangkalan","1507","2","-7.0306912","112.7450068","1"
"829","15","Kabupaten Kediri","1508","2","-7.809356","112.032356","1"
"830","15","Kabupaten Bondowoso","1509","2","-7.917704","113.813483","1"
"831","15","Kabupaten Blitar","1510","2","-8.1014419","112.162762","1"
"832","15","Kabupaten Trenggalek","1511","2","-8.05","111.7166667","1"
"833","15","Kabupaten Tulungagung","1512","2","-8.0666667","111.9","1"
"834","15","Kabupaten Nganjuk","1513","2","-7.602932","111.901808","1"
"835","15","Kabupaten Situbondo","1514","2","-7.702534","113.955605","1"
"836","15","Kabupaten Malang","1515","2","-8.0495643","112.6884549","1"
"837","15","Kabupaten Jember","1516","2","-8.172357","113.700302","1"
"838","15","Kabupaten Sumenep","1517","2","-6.9253999","113.9060624","1"
"839","15","Kabupaten Pasuruan","1518","2","-6.8623098","108.8001936","1"
"840","15","Kabupaten Pamekasan","1519","2","-7.1666667","113.4666667","1"
"841","15","Kabupaten Probolinggo","1520","2","-7.753965","113.210675","1"
"842","15","Kabupaten Lumajang","1521","2","-8.137022","113.226601","1"
"843","15","Kabupaten Bojonegoro","1522","2","0.882681","124.4669566","1"
"844","15","Kabupaten Tuban","1523","2","-8.7493146","115.1711298","1"
"845","15","Kabupaten Lamongan","1524","2","-7.406153","109.3946794","1"
"846","15","Kabupaten Sidoarjo","1525","2","-7.4530278","112.7173389","1"
"847","15","Kabupaten Sampang","1526","2","-7.5782556","109.2058436","1"
"848","15","Kabupaten Mojokerto","1527","2","-7.488075","112.427027","1"
"849","15","Kabupaten Gresik","1528","2","-7.15665","112.6555","1"
"850","15","Kabupaten Jombang","1529","2","-7.5468395","112.2264794","1"
"851","15","Kota Mojokerto","1530","2","-7.4722222","112.4336111","1"
"852","15","Kota Surabaya","1531","2","-7.289166","112.734398","1"
"853","15","Kota Madiun","1532","2","-7.629714","111.513702","1"
"854","15","Kota Blitar","1533","2","-8.1","112.15","1"
"855","15","Kota Malang","1534","2","-7.981894","112.626503","1"
"856","15","Kota Batu","1535","2","-7.8671","112.5239","1"
"857","15","Kota Pasuruan","1536","2","-7.644872","112.903297","1"
"858","15","Kota Kediri","1537","2","-7.816895","112.011398","1"
"859","15","Kota Probolinggo","1538","2","-7.756928","113.211502","1"
"925","5","Kabupaten Batanghari","501","2","-1.7083922","103.0817903","1"
"926","5","Kabupaten Bungo","502","2","-1.6401338","101.8891721","1"
"927","5","Kabupaten Kerinci","503","2","-1.8720467","101.4339148","1"
"928","5","Kabupaten Merangin","504","2","-2.1752789","101.9804613","1"
"929","5","Kabupaten Muaro Jambi","505","2","-1.596672","103.615799","1"
"930","5","Kabupaten Sarolangun","506","2","-2.2654937","102.6905326","1"
"931","5","Kabupaten Tanjung Jabung Barat","507","2","-1.2332122","103.7984428","1"
"932","5","Kabupaten Tanjung Jabung Timur","508","2","-1.3291599","103.89973","1"
"933","5","Kabupaten Tebo","509","2","-1.2592999","102.3463875","1"
"934","5","Kota Jambi","510","2","-1.596672","103.615799","1"
"935","5","Kota Sungai Penuh","511","2","-2.06314","101.387199","1"
"1326","1","Kabupaten Simeulue","1109","2","2.583333","96.083333","1"
"1327","1","Kabupaten Aceh Singkil","1102","2","2.3589459","97.87216","1"
"1328","1","Kabupaten Aceh Selatan","1101","2","3.3115056","97.3516558","1"
"1329","1","Kabupaten Aceh Tenggara","1102","2","3.3088666","97.6982272","1"
"1330","1","Kabupaten Aceh Timur","1103","2","5.255443","95.9885456","1"
"1331","1","Kabupaten Aceh Tengah","1104","2","4.4482641","96.8350999","1"
"1332","1","Kabupaten Aceh Barat","1105","2","4.4542745","96.1526985","1"
"1333","1","Kabupaten Aceh Besar","1106","2","5.4529168","95.4777811","1"
"1334","1","Kabupaten Pidie","1107","2","5.0742659","95.940971","1"
"1335","1","Kabupaten Bireuen","1111","2","5.18254","96.89005","1"
"1336","1","Kabupaten Aceh Utara","1108","2","4.9786331","97.2221421","1"
"1337","1","Kabupaten Aceh Barat Daya","1112","2","3.0512643","97.3368031","1"
"1338","1","Kabupaten Gayo Lues","1113","2","3.955165","97.3516558","1"
"1339","1","Kabupaten Aceh Tamiang","1116","2","4.2328871","98.0028892","1"
"1340","1","Kabupaten Nagan Raya","1115","2","4.1248406","96.4929797","1"
"1341","1","Kabupaten Aceh Jaya","1114","2","4.7873684","95.6457951","1"
"1342","1","Kabupaten Bener Meriah","1117","2","4.7748348","97.0068393","1"
"1343","1","Kabupaten Pidie Jaya","1118","2","5.1548063","96.195132","1"
"1344","1","Kota Banda Aceh","1171","2","5.55","95.3166667","1"
"1345","1","Kota Sabang","1172","2","5.8946929","95.3192982","1"
"1346","1","Kota Langsa","1174","2","4.48","97.9633333","1"
"1347","1","Kota Lhokseumawe","1173","2","5.1880556","97.1402778","1"
"1348","1","Kota Subulussalam","1175","2","2.6449927","98.0165205","1"
"1349","2","Kabupaten Nias","1204","2","-8.1712591","113.7111274","1"
"1350","2","Kabupaten Mandailing Natal","1213","2","0.7432372","99.3673084","1"
"1351","2","Kabupaten Tapanuli Selatan","1203","2","1.5774933","99.2785583","1"
"1352","2","Kabupaten Tapanuli Tengah","1201","2","1.8493299","98.704075","1"
"1353","2","Kabupaten Tapanuli Utara","1202","2","2.0405246","99.1013498","1"
"1354","2","Kabupaten Toba Samosir","1212","2","2.3502398","99.2785583","1"
"1355","2","Kabupaten Labuhanbatu","1210","2","2.3439863","100.1703257","1"
"1356","2","Kabupaten Asahan","1209","2","2.8174722","99.634135","1"
"1357","2","Kabupaten Simalungun","1208","2","2.9781612","99.2785583","1"
"1358","2","Kabupaten Dairi","1211","2","2.8675801","98.265058","1"
"1359","2","Kabupaten Karo","1206","2","3.1052909","98.265058","1"
"1360","2","Kabupaten Deli Serdang","1207","2","3.4201802","98.704075","1"
"1361","2","Kabupaten Langkat","1205","2","3.8653916","98.3088441","1"
"1362","2","Kabupaten Nias Selatan","1214","2","0.7086091","97.8286368","1"
"1363","2","Kabupaten Humbang Hasundutan","1216","2","2.1988508","98.5721016","1"
"1364","2","Kabupaten Pakpak Bharat","1215","2","2.545786","98.299838","1"
"1365","2","Kabupaten Samosir","1217","2","2.5833333","98.8166667","1"
"1366","2","Kabupaten Serdang Bedagai","1218","2","3.3371694","99.0571089","1"
"1367","2","Kabupaten Batu Bara","1219","2","3.1740979","99.5006143","1"
"1368","2","Kabupaten Padang Lawas Utara","1220","2","1.5758644","99.634135","1"
"1369","2","Kabupaten Padang Lawas","1221","2","1.1186977","99.8124935","1"
"1370","2","Kota Sibolga","1273","2","1.7403745","98.7827988","1"
"1371","2","Kota Tanjung Balai","1274","2","2.965122","99.800331","1"
"1372","2","Kota Pematang Siantar","1272","2","2.96","99.06","1"
"1373","2","Kota Tebing Tinggi","1276","2","3.3856205","99.2009815","1"
"1374","2","Kota Medan","1271","2","3.585242","98.6755979","1"
"1375","2","Kota Binjai","1275","2","3.594462","98.482246","1"
"1376","2","Kota Padangsidimpuan","1277","2","1.380424","99.273972","1"
"1377","3","Kabupaten Kepulauan Mentawai","1309","2","-1.426001","98.9245343","1"
"1378","3","Kabupaten Pesisir Selatan","1301","2","-1.7223147","100.8903099","1"
"1379","3","Kabupaten Solok","1302","2","-0.803027","100.644402","1"
"1380","3","Kabupaten Sijunjung","1303","2","-0.6881586","100.997658","1"
"1381","3","Kabupaten Tanah Datar","1304","2","-0.4797043","100.5746224","1"
"1382","3","Kabupaten Padang Pariaman","1305","2","-0.5546757","100.2151578","1"
"1383","3","Kabupaten Agam","1306","2","-0.2209392","100.1703257","1"
"1384","3","Kabupaten Lima Puluh Kota","1307","2","3.168216","99.4187929","1"
"1385","3","Kabupaten Pasaman","1308","2","0.1288752","99.7901781","1"
"1386","3","Kabupaten Solok Selatan","1311","2","-1.4157329","101.2523792","1"
"1387","3","Kabupaten Dharmas Raya","1310","2","-1.1120568","101.6157773","1"
"1388","3","Kabupaten Pasaman Barat","1312","2","0.2213005","99.634135","1"
"1389","3","Kota Padang","1371","2","-0.95","100.3530556","1"
"1390","3","Kota Solok","1372","2","-0.803027","100.644402","1"
"1391","3","Kota Sawah Lunto","1373","2","-0.6810286","100.7763604","1"
"1392","3","Kota Padang Panjang","1374","2","-0.470679","100.4059456","1"
"1393","3","Kota Bukittinggi","1375","2","-0.3055556","100.3691667","1"
"1394","3","Kota Payakumbuh","1376","2","-0.22887","100.632301","1"
"1395","3","Kota Pariaman","1377","2","-0.6264389","100.1179574","1"
"1396","4","Kabupaten Kuantan Singingi","1409","2","-0.4411596","101.5248055","1"
"1397","4","Kabupaten Indragiri Hulu","1402","2","-0.7361181","102.2547919","1"
"1398","4","Kabupaten Indragiri Hilir","1404","2","-0.1456733","102.989615","1"
"1399","4","Kabupaten Pelalawan","1405","2","0.441415","102.088699","1"
"1400","4","Kabupaten S I A K","1408","2","-0.789275","113.921327","1"
"1401","4","Kabupaten Kampar","1401","2","0.146671","101.1617356","1"
"1402","4","Kabupaten Rokan Hulu","1406","2","1.0410934","100.439656","1"
"1403","4","Kabupaten Bengkalis","1403","2","1.4897222","102.0797222","1"
"1404","4","Kabupaten Rokan Hilir","1407","2","1.6463978","100.8000051","1"
"1405","4","Kota Pekanbaru","1471","2","0.5333333","101.45","1"
"1406","4","Kota Dumai","1472","2","1.665742","101.447601","1"
"1407","5","Kabupaten Kerinci","1501","2","-1.697","101.264","1"
"1408","5","Kabupaten Merangin","1502","2","-2.1752789","101.9804613","1"
"1409","5","Kabupaten Sarolangun","1503","2","-2.2654937","102.6905326","1"
"1410","5","Kabupaten Batang Hari","1504","2","-1.7083922","103.0817903","1"
"1411","5","Kabupaten Muaro Jambi","1505","2","-1.596672","103.615799","1"
"1412","5","Kabupaten Tanjung Jabung Timur","1507","2","-1.3291599","103.89973","1"
"1413","5","Kabupaten Tanjung Jabung Barat","1506","2","-1.2332122","103.7984428","1"
"1414","5","Kabupaten Tebo","1509","2","-1.2592999","102.3463875","1"
"1415","5","Kabupaten Bungo","1508","2","-1.6401338","101.8891721","1"
"1416","5","Kota Jambi","1571","2","-1.596672","103.615799","1"
"1417","6","Kabupaten Ogan Komering Ulu","1601","2","-4.0283486","104.0072348","1"
"1418","6","Kabupaten Ogan Komering Ilir","1602","2","-3.4559744","105.2194808","1"
"1419","6","Kabupaten Muara Enim","1603","2","-3.651581","103.770798","1"
"1420","6","Kabupaten Lahat","1604","2","-3.7863889","103.5427778","1"
"1421","6","Kabupaten Musi Rawas","1605","2","-2.8625305","102.989615","1"
"1422","6","Kabupaten Musi Banyuasin","1606","2","-2.5442029","103.7289167","1"
"1423","6","Kabupaten Banyu Asin","1607","2","-2.6095639","104.7520939","1"
"1424","6","Kabupaten Ogan Komering Ulu Selatan","1609","2","-4.6681951","104.0072348","1"
"1425","6","Kabupaten Ogan Komering Ulu Timur","1608","2","-3.8567934","104.7520939","1"
"1426","6","Kabupaten Ogan Ilir","1610","2","-3.426544","104.6121475","1"
"1427","6","Kabupaten Empat Lawang","1611","2","-3.7286029","102.8975098","1"
"1428","6","Kota Palembang","1671","2","-2.9911083","104.7567333","1"
"1429","6","Kota Prabumulih","1674","2","-3.440956","104.235397","1"
"1430","6","Kota Pagar Alam","1672","2","-4.03767","103.265297","1"
"1431","6","Kota Lubuklinggau","1673","2","-3.2966667","102.8616667","1"
"1432","7","Kabupaten Bengkulu Selatan","1701","2","-4.3248409","103.035694","1"
"1433","7","Kabupaten Rejang Lebong","1702","2","-3.4548154","102.6675575","1"
"1434","7","Kabupaten Bengkulu Utara","1703","2","-3.4219555","102.1632718","1"
"1435","7","Kabupaten Kaur","1704","2","-4.6792278","103.4511768","1"
"1436","7","Kabupaten Seluma","1705","2","-4.0622929","102.5642261","1"
"1437","7","Kabupaten Mukomuko","1706","2","-2.5760003","101.1169805","1"
"1438","7","Kabupaten Lebong","1707","2","-2.992617","104.382202","1"
"1439","7","Kabupaten Kepahiang","1708","2","-3.651431","102.578201","1"
"1440","7","Kota Bengkulu","1771","2","-3.7955556","102.2591667","1"
"1441","8","Kabupaten Lampung Barat","1804","2","-5.1490396","104.1930918","1"
"1442","8","Kabupaten Tanggamus","1802","2","-5.3027489","104.5655273","1"
"1443","8","Kabupaten Lampung Selatan","1801","2","-5.5622614","105.5474373","1"
"1444","8","Kabupaten Lampung Timur","1807","2","-5.1134995","105.6881788","1"
"1445","8","Kabupaten Lampung Tengah","1802","2","-4.8008086","105.3131185","1"
"1446","8","Kabupaten Lampung Utara","1803","2","-4.8133905","104.7520939","1"
"1447","8","Kabupaten Way Kanan","1808","2","-4.4963689","104.5655273","1"
"1448","8","Kabupaten Tulangbawang","1812","2","-4.3176576","105.5005483","1"
"1449","8","Kabupaten Pesawaran","1809","2","-5.493245","105.0791228","1"
"1450","8","Kota Bandar Lampung","1871","2","-5.45","105.2666667","1"
"1451","8","Kota Metro","1872","2","-5.1166667","105.3","1"
"1452","9","Kabupaten Bangka","1901","2","-2.2884782","106.0640179","1"
"1453","9","Kabupaten Belitung","1902","2","-2.8708938","107.9531836","1"
"1454","9","Kabupaten Bangka Barat","1905","2","-2.2884782","106.0640179","1"
"1455","9","Kabupaten Bangka Tengah","1904","2","-2.2884782","106.0640179","1"
"1456","9","Kabupaten Bangka Selatan","1903","2","-2.2884782","106.0640179","1"
"1457","9","Kabupaten Belitung Timur","1906","2","-2.8708938","107.9531836","1"
"1458","9","Kota Pangkal Pinang","1971","2","-2.129323","106.109596","1"
"1459","10","Kabupaten Karimun","2102","2","1.05","103.3666667","1"
"1460","10","Kabupaten Bintan","2101","2","1.0619173","104.5189214","1"
"1461","10","Kabupaten Natuna","2103","2","3.9329945","108.1812242","1"
"1462","10","Kabupaten Lingga","2104","2","-0.1627686","104.6354631","1"
"1463","10","Kota Batam","2171","2","1.0456264","104.0304535","1"
"1464","10","Kota Tanjung Pinang","2172","2","0.9179205","104.446464","1"
"1465","11","Kabupaten Kepulauan Seribu","3101","2","-5.7985266","106.5071982","1"
"1466","11","Kota Jakarta Selatan","3174","2","-6.332973","106.807915","1"
"1467","11","Kota Jakarta Timur","3175","2","-6.211544","106.845172","1"
"1468","11","Kota Jakarta Pusat","3171","2","-6.211544","106.845172","1"
"1469","11","Kota Jakarta Barat","3173","2","-6.211544","106.845172","1"
"1470","11","Kota Jakarta Utara","3172","2","-6.211544","106.845172","1"
"1471","12","Kabupaten Bogor","3201","2","-6.6","106.8","1"
"1472","12","Kabupaten Sukabumi","3202","2","-6.92405","106.922203","1"
"1473","12","Kabupaten Cianjur","3203","2","-6.8172531","107.1307289","1"
"1474","12","Kabupaten Bandung","3204","2","-6.9147444","107.6098111","1"
"1475","12","Kabupaten Garut","3205","2","-7.227906","107.908699","1"
"1476","12","Kabupaten Tasikmalaya","3206","2","-7.327954","108.214104","1"
"1477","12","Kabupaten Ciamis","3207","2","-7.3333333","108.35","1"
"1478","12","Kabupaten Kuningan","3208","2","-6.9833333","108.4833333","1"
"1479","12","Kabupaten Cirebon","3209","2","-6.715534","108.564003","1"
"1480","12","Kabupaten Majalengka","3210","2","-6.8531026","108.2258897","1"
"1481","12","Kabupaten Sumedang","3211","2","0.6095949","110.0330554","1"
"1482","12","Kabupaten Indramayu","3212","2","-6.336315","108.325104","1"
"1483","12","Kabupaten Subang","3213","2","-6.569361","107.752403","1"
"1484","12","Kabupaten Purwakarta","3214","2","-6.5386806","107.4499404","1"
"1485","12","Kabupaten Karawang","3215","2","-6.3227303","107.3375791","1"
"1486","12","Kabupaten Bekasi","3216","2","-6.2333333","107","1"
"1487","12","Kabupaten Bandung Barat","3217","2","-6.8937121","107.4321959","1"
"1488","12","Kota Bogor","3271","2","-6.6","106.8","1"
"1489","12","Kota Sukabumi","3272","2","-6.92405","106.922203","1"
"1490","12","Kota Bandung","3273","2","-6.9147444","107.6098111","1"
"1491","12","Kota Cirebon","3274","2","-6.715534","108.564003","1"
"1492","12","Kota Bekasi","3275","2","-6.2333333","107","1"
"1493","12","Kota Depok","3276","2","-6.39","106.83","1"
"1494","12","Kota Cimahi","3277","2","-6.880239","107.5355","1"
"1495","12","Kota Tasikmalaya","3278","2","-7.327954","108.214104","1"
"1496","12","Kota Banjar","3279","2","-7.3666667","108.5333333","1"
"1497","13","Kabupaten Cilacap","3301","2","-7.733333","109","1"
"1498","13","Kabupaten Banyumas","3302","2","-7.4832133","109.140438","1"
"1499","13","Kabupaten Purbalingga","3303","2","-7.390747","109.3638","1"
"1500","13","Kabupaten Banjarnegara","3304","2","-7.402706","109.681396","1"
"1501","13","Kabupaten Kebumen","3305","2","-7.678682","109.656502","1"
"1502","13","Kabupaten Purworejo","3306","2","-7.709731","110.008003","1"
"1503","13","Kabupaten Wonosobo","3307","2","-7.362109","109.899399","1"
"1504","13","Kabupaten Magelang","3308","2","-7.481253","110.213799","1"
"1505","13","Kabupaten Boyolali","3309","2","-7.523819","110.595901","1"
"1506","13","Kabupaten Klaten","3310","2","-7.711687","110.595497","1"
"1507","13","Kabupaten Sukoharjo","3311","2","-7.6808818","110.8195292","1"
"1508","13","Kabupaten Wonogiri","3312","2","-7.817782","110.920601","1"
"1509","13","Kabupaten Karanganyar","3313","2","-7.5961111","110.9508333","1"
"1510","13","Kabupaten Sragen","3314","2","-7.430229","111.021301","1"
"1511","13","Kabupaten Grobogan","3315","2","-7.0217194","110.9625854","1"
"1512","13","Kabupaten Blora","3316","2","-6.95","111.4166667","1"
"1513","13","Kabupaten Rembang","3317","2","-6.71124","111.345299","1"
"1514","13","Kabupaten Pati","3318","2","-6.751338","111.038002","1"
"1515","13","Kabupaten Kudus","3319","2","-6.804087","110.838203","1"
"1516","13","Kabupaten Jepara","3320","2","-6.5596059","110.6717","1"
"1517","13","Kabupaten Demak","3321","2","-6.888115","110.639297","1"
"1518","13","Kabupaten Semarang","3322","2","-6.9666667","110.4166667","1"
"1519","13","Kabupaten Temanggung","3323","2","-7.316669","110.174797","1"
"1520","13","Kabupaten Kendal","3324","2","-6.919686","110.205597","1"
"1521","13","Kabupaten Batang","3325","2","-6.8941111","109.7234519","1"
"1522","13","Kabupaten Pekalongan","3326","2","-6.882887","109.669998","1"
"1523","13","Kabupaten Pemalang","3327","2","-6.884234","109.377998","1"
"1524","13","Kabupaten Tegal","3328","2","-6.8666667","109.1333333","1"
"1525","13","Kabupaten Brebes","3329","2","-6.8833333","109.05","1"
"1526","13","Kota Magelang","3371","2","-7.481253","110.213799","1"
"1527","13","Kota Surakarta","3372","2","-7.5666667","110.8166667","1"
"1528","13","Kota Salatiga","3373","2","-7.302328","110.4729","1"
"1529","13","Kota Semarang","3374","2","-6.9666667","110.4166667","1"
"1530","13","Kota Pekalongan","3375","2","-6.882887","109.669998","1"
"1531","13","Kota Tegal","3376","2","-6.8666667","109.1333333","1"
"1532","14","Kabupaten Kulon Progo","3401","2","-7.8266798","110.1640846","1"
"1533","14","Kabupaten Bantul","3402","2","-7.8846111","110.3341111","1"
"1534","14","Kabupaten Gunung Kidul","3403","2","-8.0305091","110.6168921","1"
"1536","14","Kota Yogyakarta","3471","2","-7.797224","110.368797","1"
"1537","16","Kabupaten Pandeglang","3601","2","-6.314835","106.103897","1"
"1538","16","Kabupaten Lebak","3602","2","-6.5643956","106.2522143","1"
"1539","16","Kabupaten Tangerang","3603","2","-6.1783056","106.6318889","1"
"1540","16","Kabupaten Serang","3604","2","-6.12009","106.150299","1"
"1541","16","Kota Tangerang","3671","2","-6.1783056","106.6318889","1"
"1542","16","Kota Cilegon","3672","2","-6.0169825","106.040506","1"
"1543","16","Kota Serang","3673","2","-6.12009","106.150299","1"
"1544","17","Kabupaten Jembrana","5101","2","-8.361852","114.6418","1"
"1545","17","Kabupaten Tabanan","5102","2","-8.544516","115.119797","1"
"1546","17","Kabupaten Badung","5103","2","-8.5819296","115.1770586","1"
"1547","17","Kabupaten Gianyar","5104","2","-8.544185","115.3255","1"
"1548","17","Kabupaten Klungkung","5105","2","-8.5389222","115.4045111","1"
"1549","17","Kabupaten Bangli","5106","2","-8.454303","115.354897","1"
"1550","17","Kabupaten Karang Asem","5107","2","-6.3996057","108.0503042","1"
"1551","17","Kabupaten Buleleng","5108","2","-8.113831","115.126999","1"
"1552","17","Kota Denpasar","5171","2","-8.65629","115.222099","1"
"1553","18","Kabupaten Lombok Barat","5201","2","-8.6464599","116.1123078","1"
"1554","18","Kabupaten Lombok Tengah","5202","2","-8.694623","116.2777073","1"
"1555","18","Kabupaten Lombok Timur","5203","2","-8.5134471","116.5609857","1"
"1556","18","Kabupaten Sumbawa","5204","2","-8.6529334","117.3616476","1"
"1557","18","Kabupaten Dompu","5205","2","-8.4966318","118.4747173","1"
"1558","18","Kabupaten Bima","5206","2","-8.460566","118.727402","1"
"1559","18","Kabupaten Sumbawa Barat","5207","2","-8.9292907","116.8910342","1"
"1560","18","Kota Mataram","5271","2","-8.5833333","116.1166667","1"
"1561","18","Kota Bima","5272","2","-8.460566","118.727402","1"
"1562","19","Kabupaten Sumba Barat","5312","2","-9.6548326","119.3947135","1"
"1563","19","Kabupaten Sumba Timur","5311","2","-9.9802103","120.3435506","1"
"1564","19","Kabupaten Kupang","5301","2","-10.1833333","123.5833333","1"
"1565","19","Kabupaten Timor Tengah Selatan","5302","2","-9.7762816","124.4198243","1"
"1566","19","Kabupaten Timor Tengah Utara","5303","2","-9.4522647","124.597132","1"
"1567","19","Kabupaten Belu","5304","2","-9.4125796","124.9506625","1"
"1568","19","Kabupaten Alor","5305","2","-8.2754027","124.7298765","1"
"1569","19","Kabupaten Lembata","5313","2","-8.4719075","123.4831906","1"
"1570","19","Kabupaten Flores Timur","5306","2","-8.3130942","122.9663018","1"
"1571","19","Kabupaten Sikka","5307","2","-8.6766175","122.1291843","1"
"1572","19","Kabupaten Ende","5308","2","-8.854053","121.654198","1"
"1573","19","Kabupaten Ngada","5309","2","-8.7430424","120.9876321","1"
"1574","19","Kabupaten Manggarai","5310","2","-8.6796987","120.3896651","1"
"1575","19","Kabupaten Rote Ndao","5314","2","-10.7386421","123.1239049","1"
"1576","19","Kabupaten Manggarai Barat","5315","2","-8.6688149","120.0665236","1"
"1577","19","Kabupaten Sumba Tengah","5317","2","-9.4879226","119.6962677","1"
"1578","19","Kabupaten Sumba Barat Daya","5318","2","-9.539139","119.1390642","1"
"1579","19","Kabupaten Nagekeo","5316","2","-8.6753545","121.3084088","1"
"1580","19","Kabupaten Manggarai Timur","5319","2","-8.6206712","120.6199895","1"
"1581","19","Kota Kupang","5371","2","-10.1833333","123.5833333","1"
"1582","20","Kabupaten Sambas","6101","2","1.361328","109.309998","1"
"1583","20","Kabupaten Bengkayang","6107","2","0.8209729","109.477699","1"
"1584","20","Kabupaten Landak","6108","2","0.4237287","109.7591675","1"
"1585","20","Kabupaten Pontianak","6102","2","-0.022523","109.330307","1"
"1586","20","Kabupaten Sanggau","6103","2","0.119275","110.597298","1"
"1587","20","Kabupaten Ketapang","6104","2","-1.859098","109.971901","1"
"1588","20","Kabupaten Sintang","6105","2","0.080238","111.495499","1"
"1589","20","Kabupaten Kapuas Hulu","6106","2","-0.7931004","113.9060624","1"
"1590","20","Kabupaten Sekadau","6109","2","0.015637","110.888603","1"
"1591","20","Kabupaten Melawi","6110","2","-0.7000681","111.6660725","1"
"1592","20","Kabupaten Kayong Utara","6111","2","-0.9225877","110.0449662","1"
"1593","20","Kabupaten Kubu Raya","6112","2","-0.3533938","109.4735066","1"
"1594","20","Kota Pontianak","6171","2","-0.022523","109.330307","1"
"1595","20","Kota Singkawang","6172","2","0.908795","108.984596","1"
"1596","21","Kabupaten Kotawaringin Barat","6201","2","-6.1961131","106.8630174","1"
"1597","21","Kabupaten Kotawaringin Timur","6202","2","-6.1952992","106.8630737","1"
"1598","21","Kabupaten Kapuas","6203","2","-0.0459972","110.1313251","1"
"1599","21","Kabupaten Barito Selatan","6204","2","-1.875943","114.8092691","1"
"1600","21","Kabupaten Barito Utara","6205","2","-0.9587136","115.094045","1"
"1601","21","Kabupaten Sukamara","6208","2","-2.6267517","111.2368084","1"
"1602","21","Kabupaten Lamandau","6209","2","-1.9269166","111.1891151","1"
"1603","21","Kabupaten Seruyan","6207","2","-3.0123467","112.4291464","1"
"1604","21","Kabupaten Katingan","6206","2","-0.9758379","112.8105512","1"
"1605","21","Kabupaten Pulang Pisau","6211","2","-2.6849607","113.9536466","1"
"1606","21","Kabupaten Gunung Mas","6210","2","-6.7052778","106.9913889","1"
"1607","21","Kabupaten Barito Timur","6213","2","-2.0123999","115.188916","1"
"1608","21","Kabupaten Murung Raya","6212","2","-0.1362171","114.3341432","1"
"1609","21","Kota Palangka Raya","6271","2","-2.21","113.92","1"
